,time,open,high,low,close
2282,2024-10-01 10:38:45,1.10827,1.10829,1.10824,1.10824
2283,2024-10-01 10:38:50,1.10824,1.10829,1.10822,1.10828
2284,2024-10-01 10:38:55,1.1083,1.10833,1.10823,1.10823
2285,2024-10-01 10:39:00,1.10823,1.10841,1.10822,1.10839
2286,2024-10-01 10:39:05,1.10839,1.10839,1.10836,1.10836
2287,2024-10-01 10:39:10,1.10836,1.10849,1.10836,1.10849
2288,2024-10-01 10:39:15,1.10849,1.10849,1.10823,1.10823
2289,2024-10-01 10:39:20,1.10823,1.10827,1.10821,1.10821
2290,2024-10-01 10:39:25,1.10821,1.10823,1.10812,1.10812
2291,2024-10-01 10:39:30,1.10812,1.10812,1.10805,1.1081
2292,2024-10-01 10:39:35,1.10812,1.10815,1.10803,1.10803
2293,2024-10-01 10:39:40,1.10803,1.10808,1.108,1.10801
2294,2024-10-01 10:39:45,1.10802,1.10802,1.10781,1.10781
2295,2024-10-01 10:39:50,1.10783,1.10783,1.1077,1.10773
2296,2024-10-01 10:39:55,1.10771,1.10774,1.10771,1.10774
2297,2024-10-01 10:40:00,1.10764,1.10764,1.10761,1.10762
2298,2024-10-01 10:40:05,1.10761,1.10761,1.10754,1.10757
2299,2024-10-01 10:40:10,1.10756,1.10763,1.10756,1.10758
2300,2024-10-01 10:40:15,1.10757,1.10757,1.10748,1.10751
2301,2024-10-01 10:40:20,1.10749,1.10752,1.10747,1.10748
2302,2024-10-01 10:40:25,1.10748,1.10749,1.10741,1.10741
2303,2024-10-01 10:40:30,1.10743,1.10743,1.10731,1.10731
2304,2024-10-01 10:40:35,1.1073,1.1073,1.10711,1.10714
2305,2024-10-01 10:40:40,1.10714,1.10722,1.10714,1.10714
2306,2024-10-01 10:40:45,1.10713,1.10718,1.10713,1.10716
2307,2024-10-01 10:40:50,1.10717,1.10717,1.10714,1.10716
2308,2024-10-01 10:40:55,1.10716,1.1072,1.10716,1.1072
2309,2024-10-01 10:41:00,1.10719,1.10719,1.10717,1.10719
2310,2024-10-01 10:41:05,1.1072,1.10731,1.10715,1.10731
2311,2024-10-01 10:41:10,1.10731,1.10731,1.10715,1.10727
2312,2024-10-01 10:41:15,1.10728,1.10733,1.10725,1.10729
